first_name,last_name,email,phone,picture
Cristie,Ferraraccio,cferraraccio0@reference.com,2706179762,/Users/maxencemachu/Cours/scripting-photoshop/data/visit_card/Tim.jpeg
Anny,Fellon,afellon1@last.fm,1726057173,/Users/maxencemachu/Cours/scripting-photoshop/data/visit_card/Tim.jpeg
Alfreda,Newall,anewall2@microsoft.com,8222651960,/Users/maxencemachu/Cours/scripting-photoshop/data/visit_card/Tim.jpeg
Friedrick,Baise,fbaise3@washingtonpost.com,2058667289,/Users/maxencemachu/Cours/scripting-photoshop/data/visit_card/Tim.jpeg
Bryanty,Everil,beveril4@examiner.com,3997525651,/Users/maxencemachu/Cours/scripting-photoshop/data/visit_card/Tim.jpeg
Trenna,Yellowlee,tyellowlee5@vkontakte.ru,1442801505,/Users/maxencemachu/Cours/scripting-photoshop/data/visit_card/Tim.jpeg
Adelbert,Petru,apetru6@surveymonkey.com,5846353340,/Users/maxencemachu/Cours/scripting-photoshop/data/visit_card/Tim.jpeg
Rock,Hegley,rhegley7@moonfruit.com,5527841874,/Users/maxencemachu/Cours/scripting-photoshop/data/visit_card/Tim.jpeg
Reinwald,Quinsee,rquinsee8@elpais.com,1363782145,/Users/maxencemachu/Cours/scripting-photoshop/data/visit_card/Tim.jpeg
Cynthia,Lainton,clainton9@diigo.com,8806387834,/Users/maxencemachu/Cours/scripting-photoshop/data/visit_card/Tim.jpeg
Clifford,Klimaszewski,cklimaszewskia@microsoft.com,1642248338,/Users/maxencemachu/Cours/scripting-photoshop/data/visit_card/Tim.jpeg
Leyla,Duguid,lduguidb@jiathis.com,4267782027,/Users/maxencemachu/Cours/scripting-photoshop/data/visit_card/Tim.jpeg
Mikaela,Teml,mtemlc@harvard.edu,2106261813,/Users/maxencemachu/Cours/scripting-photoshop/data/visit_card/Tim.jpeg
Nicky,Gaynes,ngaynesd@examiner.com,9818625201,/Users/maxencemachu/Cours/scripting-photoshop/data/visit_card/Tim.jpeg
Ivett,Redrup,iredrupe@pinterest.com,9102010430,/Users/maxencemachu/Cours/scripting-photoshop/data/visit_card/Tim.jpeg
Jacquie,Hemphrey,jhemphreyf@hibu.com,1832606291,/Users/maxencemachu/Cours/scripting-photoshop/data/visit_card/Tim.jpeg
Reagan,Tollow,rtollowg@deviantart.com,4233754226,/Users/maxencemachu/Cours/scripting-photoshop/data/visit_card/Tim.jpeg
Caria,Saywood,csaywoodh@pcworld.com,4447127420,/Users/maxencemachu/Cours/scripting-photoshop/data/visit_card/Tim.jpeg
Lars,Trythall,ltrythalli@mozilla.com,9211576173,/Users/maxencemachu/Cours/scripting-photoshop/data/visit_card/Tim.jpeg
Agustin,Kimber,akimberj@slate.com,6446902834,/Users/maxencemachu/Cours/scripting-photoshop/data/visit_card/Tim.jpeg
Diandra,Baber,dbaberk@wikia.com,3704990706,/Users/maxencemachu/Cours/scripting-photoshop/data/visit_card/Tim.jpeg
Jasper,Clapson,jclapsonl@rakuten.co.jp,1066468723,/Users/maxencemachu/Cours/scripting-photoshop/data/visit_card/Tim.jpeg
Amberly,Carlsson,acarlssonm@goodreads.com,5789260106,/Users/maxencemachu/Cours/scripting-photoshop/data/visit_card/sandra.jpeg
Dirk,Davidwitz,ddavidwitzn@mlb.com,2045906518,/Users/maxencemachu/Cours/scripting-photoshop/data/visit_card/sandra.jpeg
Titos,Grogor,tgrogoro@homestead.com,9994685446,/Users/maxencemachu/Cours/scripting-photoshop/data/visit_card/sandra.jpeg
Salvatore,Merkel,smerkelp@bravesites.com,5134096741,/Users/maxencemachu/Cours/scripting-photoshop/data/visit_card/sandra.jpeg
Cullen,Woan,cwoanq@aol.com,2431220847,/Users/maxencemachu/Cours/scripting-photoshop/data/visit_card/sandra.jpeg
Bearnard,Peascod,bpeascodr@lycos.com,2682765605,/Users/maxencemachu/Cours/scripting-photoshop/data/visit_card/sandra.jpeg
